Beta,R0,mean_infected_ratio,std_infected_ratio,mean_R_all,R_age1,R_age2,R_age3,R_age4,R_age5,R_age6,R_age7,R_age8,R_age9,R_age10,R_age11,R_age12,R_age13,R_age14,R_age15,R_age16
0.0,0.0,0.009999999999999998,1.734723475976807e-18,0.009999999999999998,0.009696969696969697,0.008093525179856115,0.008863198458574181,0.009549071618037136,0.008970976253298154,0.01001788908765653,0.011578947368421053,0.010049627791563275,0.009429477020602216,0.00995260663507109,0.01141304347826087,0.0077881619937694695,0.010052910052910053,0.011363636363636366,0.018421052631578946,0.008571428571428572
0.001,0.003,0.010490000000000001,0.00021656407827707718,0.01049,0.012121212121212121,0.01079136690647482,0.008670520231213872,0.009283819628647215,0.010026385224274407,0.011091234347048302,0.011083591331269349,0.009925558312655087,0.009350237717908083,0.010781990521327015,0.01213768115942029,0.011214953271028037,0.009523809523809523,0.00909090909090909,0.013157894736842105,0.014285714285714285
0.002,0.006,0.01113,0.000272213151776324,0.01113,0.012727272727272726,0.011690647482014389,0.009248554913294797,0.010610079575596816,0.012928759894459102,0.01261180679785331,0.010216718266253871,0.011352357320099257,0.010142630744849444,0.011255924170616114,0.010507246376811594,0.01246105919003115,0.012698412698412698,0.006818181818181818,0.013157894736842105,0.008571428571428572
0.003,0.009000000000000001,0.01149,0.0003144837038703281,0.01149,0.011515151515151515,0.013669064748201436,0.010404624277456647,0.010079575596816975,0.011609498680738788,0.01216457960644007,0.012074303405572756,0.011042183622828786,0.011014263074484946,0.011729857819905213,0.010869565217391304,0.010903426791277258,0.013227513227513227,0.007954545454545454,0.010526315789473684,0.005714285714285714
0.004,0.012,0.012419999999999999,0.0005946427498927402,0.012419999999999999,0.01272727272727273,0.010971223021582734,0.011560693641618497,0.01193633952254642,0.01820580474934037,0.013416815742397137,0.013003095975232198,0.012965260545905707,0.011727416798732172,0.011966824644549763,0.00996376811594203,0.01308411214953271,0.008994708994708995,0.005681818181818182,0.010526315789473684,0.008571428571428572
0.005,0.015000000000000001,0.01293,0.0010227903010881555,0.01293,0.010303030303030303,0.01420863309352518,0.013102119460500963,0.01273209549071618,0.01662269129287599,0.014042933810375672,0.014055727554179567,0.01259305210918114,0.013787638668779714,0.010663507109004738,0.013224637681159421,0.0077881619937694695,0.012169312169312168,0.007954545454545454,0.005263157894736842,0.008571428571428572
0.006,0.018000000000000002,0.01378,0.0008986656775464389,0.01378,0.013333333333333332,0.012589928057553958,0.012716763005780346,0.01803713527851459,0.020052770448548814,0.015384615384615382,0.014427244582043341,0.013647642679900745,0.01259904912836767,0.012440758293838863,0.010688405797101449,0.01308411214953271,0.010582010582010581,0.01477272727272727,0.021052631578947368,0.002857142857142857
0.007,0.021,0.01499,0.0014180620578804017,0.01499,0.01575757575757576,0.012050359712230214,0.01579961464354528,0.015119363395225464,0.018997361477572562,0.019856887298747763,0.015727554179566568,0.015322580645161291,0.013312202852614896,0.011492890995260662,0.013224637681159418,0.013395638629283488,0.012169312169312168,0.010227272727272729,0.007894736842105263,0.011428571428571429
0.008,0.024,0.01659,0.0013508885964430967,0.01659,0.014343434343434342,0.015647482014388488,0.01772639691714836,0.019893899204244034,0.023746701846965697,0.020483005366726297,0.017585139318885445,0.01650124069478908,0.016561014263074485,0.013862559241706162,0.0125,0.0077881619937694695,0.01164021164021164,0.019318181818181818,0.002631578947368421,0.014285714285714285
0.009000000000000001,0.027000000000000003,0.01845,0.0015602884348735009,0.01845,0.017373737373737375,0.019064748201438848,0.019653179190751442,0.015384615384615385,0.027176781002638522,0.020751341681574238,0.022538699690402477,0.01749379652605459,0.01727416798732171,0.014454976303317536,0.013768115942028985,0.014953271028037382,0.014285714285714285,0.013636363636363636,0.015789473684210527,0.008571428571428572
0.01,0.030000000000000002,0.019950000000000002,0.0029176188921790315,0.019950000000000002,0.019393939393939394,0.021043165467625902,0.019653179190751442,0.01962864721485411,0.031662269129287594,0.028354203935599287,0.021238390092879256,0.01947890818858561,0.01664025356576862,0.016943127962085306,0.013405797101449273,0.013395638629283488,0.01164021164021164,0.013636363636363637,0.010526315789473684,0.011428571428571429
0.011,0.033,0.020769999999999997,0.001836872341780996,0.020769999999999997,0.01595959595959596,0.02841726618705036,0.022350674373795763,0.020159151193633953,0.023482849604221635,0.02826475849731664,0.02117647058823529,0.02121588089330025,0.01814580031695721,0.018009478672985784,0.015036231884057972,0.012461059190031152,0.012698412698412698,0.019318181818181818,0.021052631578947368,0.017142857142857144
0.012,0.036000000000000004,0.02601,0.006395850217132981,0.02601,0.024242424242424242,0.025719424460431656,0.023892100192678227,0.029708222811671087,0.04274406332453826,0.0389087656529517,0.028916408668730652,0.024503722084367244,0.021236133122028527,0.019312796208530804,0.018478260869565215,0.017133956386292833,0.0164021164021164,0.013636363636363636,0.010526315789473684,0.02285714285714286
0.013000000000000001,0.03900000000000001,0.02681,0.003866897981586792,0.02681,0.02646464646464647,0.03003597122302158,0.02967244701348747,0.02015915119363395,0.043007915567282326,0.0389087656529517,0.0330030959752322,0.026178660049627787,0.020919175911251982,0.017298578199052134,0.01576086956521739,0.014953271028037382,0.014814814814814814,0.021590909090909088,0.010526315789473684,0.011428571428571429
0.014,0.042,0.03407999999999999,0.0056652978738986,0.03408,0.026060606060606062,0.03633093525179856,0.03526011560693641,0.030503978779840853,0.06437994722955145,0.051520572450805005,0.042105263157894736,0.03467741935483871,0.02559429477020602,0.02085308056872038,0.01884057971014493,0.018691588785046728,0.019576719576719574,0.01818181818181818,0.002631578947368421,0.008571428571428572
0.015,0.045,0.044820000000000006,0.009885018968115337,0.044820000000000006,0.040202020202020204,0.0381294964028777,0.041425818882466284,0.050663129973474795,0.08680738786279683,0.0721824686940966,0.0544891640866873,0.04584367245657568,0.034310618066561015,0.024881516587677725,0.026630434782608698,0.022118380062305293,0.014814814814814814,0.013636363636363636,0.013157894736842105,0.011428571428571429
0.016,0.048,0.055510000000000004,0.01282914260580184,0.055510000000000004,0.04606060606060606,0.05809352517985612,0.05163776493256263,0.0519893899204244,0.12137203166226913,0.09132379248658318,0.06476780185758516,0.05607940446650124,0.0401743264659271,0.034241706161137433,0.028442028985507246,0.02616822429906542,0.021164021164021163,0.020454545454545454,0.005263157894736842,0.02285714285714286
0.017,0.051000000000000004,0.07375,0.025497146899212078,0.07375000000000001,0.06565656565656566,0.07805755395683453,0.06782273603082851,0.06976127320954907,0.14934036939313985,0.11824686940966012,0.08891640866873066,0.07363523573200992,0.055150554675118854,0.042654028436018954,0.03913043478260869,0.03894080996884735,0.026455026455026454,0.03068181818181818,0.023684210526315787,0.019999999999999997
0.018000000000000002,0.054000000000000006,0.09321,0.02464128446327423,0.09321000000000002,0.0797979797979798,0.0933453237410072,0.08420038535645472,0.08567639257294431,0.18891820580474933,0.14991055456171737,0.1173374613003096,0.09478908188585608,0.07218700475435816,0.052488151658767766,0.04746376811594203,0.03489096573208723,0.0328042328042328,0.022727272727272728,0.02894736842105263,0.03142857142857143
0.019,0.057,0.13383,0.025250308909001495,0.13382999999999998,0.11232323232323231,0.12338129496402876,0.11522157996146436,0.13819628647214857,0.27150395778364117,0.22003577817531306,0.1726315789473684,0.13430521091811415,0.10047543581616483,0.07630331753554502,0.06666666666666668,0.054828660436137065,0.04021164021164021,0.035227272727272725,0.02631578947368421,0.019999999999999997
0.02,0.060000000000000005,0.16519999999999999,0.029066647553510534,0.16519999999999999,0.14727272727272728,0.15233812949640285,0.15009633911368014,0.16657824933687004,0.3221635883905013,0.2706618962432916,0.21356037151702786,0.17239454094292803,0.11980982567353407,0.08696682464454977,0.07898550724637682,0.07040498442367601,0.04867724867724867,0.042045454545454546,0.04210526315789473,0.02571428571428571
0.021,0.06300000000000001,0.20646,0.04464755760397202,0.20646,0.1795959595959596,0.2088129496402878,0.19653179190751446,0.21246684350132625,0.4240105540897098,0.3274597495527728,0.26117647058823523,0.21098014888337469,0.15911251980982566,0.10817535545023696,0.0963768115942029,0.08068535825545171,0.053968253968253964,0.04772727272727272,0.04473684210526315,0.04285714285714286
0.022,0.066,0.25362,0.04433253432863951,0.25362,0.23232323232323235,0.26708633093525175,0.2285163776493256,0.2546419098143236,0.4844327176781002,0.4029516994633274,0.3197523219814241,0.26141439205955336,0.19421553090332805,0.14300947867298577,0.12155797101449275,0.10529595015576323,0.05873015873015872,0.048863636363636366,0.05789473684210526,0.054285714285714284
0.023,0.069,0.2954199999999999,0.02912523991317497,0.29542,0.2668686868686869,0.30269784172661873,0.2759152215799615,0.31458885941644554,0.554089709762533,0.4635957066189625,0.3655108359133127,0.30434243176178655,0.22979397781299524,0.1680094786729858,0.1492753623188406,0.1289719626168224,0.09206349206349204,0.06022727272727272,0.06052631578947367,0.06285714285714286
0.024,0.07200000000000001,0.33177,0.025370733138795978,0.33177,0.2894949494949495,0.35629496402877703,0.32716763005780347,0.34615384615384615,0.5865435356200528,0.5164579606440071,0.41294117647058826,0.34633995037220844,0.25911251980982575,0.18838862559241704,0.15833333333333335,0.14174454828660435,0.10476190476190476,0.075,0.07894736842105263,0.08
0.025,0.07500000000000001,0.38075000000000003,0.020906422458182555,0.38075000000000003,0.3511111111111111,0.389568345323741,0.3522157996146435,0.39602122015915114,0.666754617414248,0.5769230769230769,0.4807430340557276,0.39689826302729525,0.3072107765451664,0.21872037914691944,0.19981884057971017,0.16635514018691586,0.11798941798941798,0.08977272727272728,0.060526315789473685,0.07428571428571429
0.026000000000000002,0.07800000000000001,0.40989,0.022930130832596658,0.40989000000000003,0.3731313131313131,0.4152877697841727,0.3913294797687861,0.4087533156498674,0.7013192612137203,0.6144007155635063,0.5199380804953561,0.43138957816377166,0.3364500792393027,0.23791469194312795,0.2067028985507246,0.18909657320872272,0.1253968253968254,0.10113636363636365,0.07894736842105263,0.07142857142857142
0.027,0.081,0.4335699999999999,0.014964895589345094,0.4335699999999999,0.40080808080808084,0.4508992805755396,0.42870905587668584,0.45092838196286467,0.7153034300791558,0.6380143112701251,0.5469969040247677,0.45694789081885856,0.3461965134706814,0.25781990521327014,0.23405797101449272,0.19439252336448598,0.13333333333333333,0.10909090909090909,0.12894736842105262,0.1114285714285714
