country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Uganda,1,7,inter_group,1462,494,0.8858718464009343,0.001793262846965454,722228
Uganda,1,8,inter_group,1462,361,0.5406491234811756,0.0014976430013328964,527782
Uganda,1,9,inter_group,1462,287,0.2762980928794356,0.000962711125015455,419594
Uganda,1,10,inter_group,1462,232,0.18993925715319276,0.0008187036946258309,339184
Uganda,1,11,inter_group,1462,172,0.1788644126805601,0.001039909376049768,251464
Uganda,1,12,inter_group,1462,121,0.10507902355843968,0.0008684216823011543,176902
Uganda,1,13,inter_group,1462,84,0.06513330963419406,0.000775396543264215,122808
Uganda,1,14,inter_group,1462,53,0.02878242959008943,0.0005430647092469704,77486
Uganda,1,15,inter_group,1462,35,0.012652535825567187,0.00036150102358763393,51170
Uganda,2,3,inter_group,1329,1178,3.21584870608214,0.002729922500918625,1565562
Uganda,2,4,inter_group,1329,1016,0.6418638716003932,0.0006317557791342452,1350264
Uganda,2,5,inter_group,1329,852,0.4166107032785559,0.0004889796986837511,1132308
Uganda,2,6,inter_group,1329,672,0.6491412466325037,0.0009659839979650353,893088
Uganda,2,7,inter_group,1329,494,0.6441064252587237,0.0013038591604427605,656526
Uganda,2,8,inter_group,1329,361,0.46235920766315536,0.0012807734284297932,479769
Uganda,2,9,inter_group,1329,287,0.27712100746644075,0.0009655784232280166,381423
Uganda,2,10,inter_group,1329,232,0.18463647767943428,0.0007958468865492857,308328
Uganda,2,11,inter_group,1329,172,0.11091257775683742,0.0006448405683537059,228588
Uganda,2,12,inter_group,1329,121,0.059385787330667225,0.0004907916308319605,160809
Uganda,2,13,inter_group,1329,84,0.056291693108782834,0.0006701392036759862,111636
Uganda,2,14,inter_group,1329,53,0.027490805726938933,0.000518694447678093,70437
Uganda,2,15,inter_group,1329,35,0.015290092222198647,0.00043685977777710417,46515
Uganda,3,4,inter_group,1178,1016,2.5327867540281552,0.0024929003484529086,1196848
Uganda,3,5,inter_group,1178,852,0.6972440293461032,0.0008183615367912009,1003656
Uganda,3,6,inter_group,1178,672,0.3570435899480586,0.0005313148659941349,791616
Uganda,3,7,inter_group,1178,494,0.4187289850546723,0.0008476295244021707,581932
Uganda,3,8,inter_group,1178,361,0.36406042946601747,0.0010084776439501868,425258
Uganda,3,9,inter_group,1178,287,0.31884141963743046,0.0011109457130224058,338086
Uganda,3,10,inter_group,1178,232,0.17697393238135237,0.0007628186740575533,273296
Uganda,3,11,inter_group,1178,172,0.10696553020352773,0.0006218926174623705,202616
Uganda,3,12,inter_group,1178,121,0.05243643209300941,0.00043335894291743316,142538
Uganda,3,13,inter_group,1178,84,0.028480671998608015,0.0003390556190310478,98952
Uganda,3,14,inter_group,1178,53,0.016979883334282065,0.000320375157250605,62434
Uganda,3,15,inter_group,1178,35,0.01044860802598219,0.00029853165788520545,41230
Uganda,4,5,inter_group,1016,852,1.4649987468947767,0.0017194820972943389,865632
Uganda,4,6,inter_group,1016,672,0.5256954793178567,0.0007822849394610962,682752
Uganda,4,7,inter_group,1016,494,0.26542077496117505,0.0005372890181400304,501904
Uganda,4,8,inter_group,1016,361,0.18912716412850303,0.0005238979615748006,366776
Uganda,4,9,inter_group,1016,287,0.19059332874914445,0.0006640882534813395,291592
Uganda,4,10,inter_group,1016,232,0.11859119116992256,0.0005111689274565627,235712
Uganda,4,11,inter_group,1016,172,0.08256461788194006,0.00048002684815081427,174752
Uganda,4,12,inter_group,1016,121,0.028578709764169728,0.00023618768400140273,122936
Uganda,4,13,inter_group,1016,84,0.017297938948970304,0.00020592784463059887,85344
Uganda,4,14,inter_group,1016,53,0.007794592816427107,0.0001470677889891907,53848
Uganda,4,15,inter_group,1016,35,0.0049597955014467725,0.00014170844289847922,35560
Uganda,5,6,inter_group,852,672,0.7489402402556785,0.0011144944051423788,572544
Uganda,5,7,inter_group,852,494,0.337334270867234,0.0006828628964923765,420888
Uganda,5,8,inter_group,852,361,0.16623251116031107,0.00046047787025016917,307572
Uganda,5,9,inter_group,852,287,0.12649236405665845,0.0004407399444482873,244524
Uganda,5,10,inter_group,852,232,0.10991380519470888,0.00047376640170133135,197664
Uganda,5,11,inter_group,852,172,0.07789935843619544,0.00045290324672206655,146544
Uganda,5,12,inter_group,852,121,0.02727126616116947,0.00022538236496834273,103092
Uganda,5,13,inter_group,852,84,0.015211383619190217,0.00018108790022845496,71568
Uganda,5,14,inter_group,852,53,0.0058140722316383136,0.00010969947606864743,45156
Uganda,5,15,inter_group,852,35,0.004611050783744102,0.00013174430810697433,29820
Uganda,6,7,inter_group,672,494,0.48973745562358095,0.0009913713676590707,331968
Uganda,6,8,inter_group,672,361,0.22064589867247208,0.0006112074755470141,242592
Uganda,6,9,inter_group,672,287,0.12201743537371361,0.00042514785844499517,192864
Uganda,6,10,inter_group,672,232,0.09969571616939607,0.00042972291452325894,155904
Uganda,6,11,inter_group,672,172,0.08466337453973022,0.0004922289217426175,115584
Uganda,6,12,inter_group,672,121,0.0376447549470612,0.0003111136772484397,81312
