country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Monaco,0,0,intra_group,451,451,0.9834989605104951,0.002185553245578878,101475
Monaco,1,1,intra_group,427,427,6.426780893865331,0.015086340126444438,90951
Monaco,2,2,intra_group,384,384,7.845439307213019,0.020484175736848614,73536
Monaco,3,3,intra_group,405,405,7.544068597162685,0.018673437121689816,81810
Monaco,4,4,intra_group,440,440,1.6118316281099556,0.0036715982417083273,96580
Monaco,5,5,intra_group,412,412,1.226958978433352,0.0029853016506894213,84666
Monaco,6,6,intra_group,417,417,1.2374085487704876,0.0029745397806982873,86736
Monaco,7,7,intra_group,433,433,1.8966178088740286,0.004390319002023214,93528
Monaco,8,8,intra_group,444,444,1.7631088887628839,0.003979929771473778,98346
Monaco,9,9,intra_group,493,493,1.391696547201824,0.002828651518702894,121278
Monaco,10,10,intra_group,633,633,1.304613035251006,0.0020642611317262752,200028
Monaco,11,11,intra_group,725,725,1.6533550859269734,0.002283639621446096,262450
Monaco,12,12,intra_group,751,751,1.8913627316540467,0.002521816975538729,281625
Monaco,13,13,intra_group,653,653,1.8480944552253928,0.0028345006981984554,212878
Monaco,14,14,intra_group,650,650,1.709755352169917,0.0026344458430969443,210925
Monaco,15,15,intra_group,2282,2282,4.13515940423173,0.0018128712863795396,2602621
Monaco,0,1,inter_group,451,427,0.4587602155534499,0.001074379895909719,192577
Monaco,0,2,inter_group,451,384,0.14615416329590072,0.0003806098002497415,173184
Monaco,0,3,inter_group,451,405,0.0758536909845128,0.0001872930641592909,182655
Monaco,0,4,inter_group,451,440,0.12349921736037398,0.0002806800394553954,198440
Monaco,0,5,inter_group,451,412,0.3134974914294132,0.0007609162413335272,185812
Monaco,0,6,inter_group,451,417,0.5876112934379882,0.001409139792417238,188067
Monaco,0,7,inter_group,451,433,0.6250587922927313,0.00144355379282386,195283
Monaco,0,8,inter_group,451,444,0.2758892464451467,0.0006213721766782583,200244
Monaco,0,9,inter_group,451,493,0.18850642875078363,0.000382365981238912,222343
Monaco,0,10,inter_group,451,633,0.24226906424967273,0.00038273153909900906,285483
Monaco,0,11,inter_group,451,725,0.41053308543631384,0.0005662525316362949,326975
Monaco,0,12,inter_group,451,751,1.2372873199979773,0.001647519733685722,338701
Monaco,0,13,inter_group,451,653,0.26892594670467396,0.00041183146509138433,294503
Monaco,0,14,inter_group,451,650,0.13555188624770814,0.00020854136345801251,293150
Monaco,0,15,inter_group,451,2282,0.5799411140615566,0.00025413721036878027,1029182
Monaco,1,2,inter_group,427,384,1.1222612655703366,0.002922555379089418,163968
Monaco,1,3,inter_group,427,405,0.18657511050007933,0.00046067928518538103,172935
Monaco,1,4,inter_group,427,440,0.0917885596402479,0.00020861036281874523,187880
Monaco,1,5,inter_group,427,412,0.20925710873762757,0.0005079056037321058,175924
Monaco,1,6,inter_group,427,417,0.6956647750870921,0.0016682608515277988,178059
Monaco,1,7,inter_group,427,433,1.0553422471105132,0.0024372800164215083,184891
Monaco,1,8,inter_group,427,444,0.7591736782645777,0.0017098506267220219,189588
Monaco,1,9,inter_group,427,493,0.5159034076850836,0.0010464572163997638,210511
Monaco,1,10,inter_group,427,633,0.6314425620224342,0.0009975395924525026,270291
Monaco,1,11,inter_group,427,725,0.7859711793680618,0.001084098178438706,309575
Monaco,1,12,inter_group,427,751,1.409432315968626,0.001876740766935587,320677
