Country,Beta_Used,R0,Final_Size,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Young_Avg,Middle_Avg,Middle2_Avg,Old_Avg,Rank
Uganda,0.058,4.353421382453152,0.943596436962248,0.9417614406467834,0.9966430674692648,0.987287295077162,0.9764765630176456,0.9251321450614352,0.9176554928587246,0.9269212392613192,0.94732068762142,0.9504284750703846,0.9294706897986365,0.9205979425598476,0.8936822314117594,0.7817103018922533,0.5002849332851638,0.3928427502792015,0.3833033906420401,0.975542091552714,0.9292573912007247,0.9235448347101569,0.5145353440246647,1
Ethiopia,0.058,4.196880844804089,0.9216124937218788,0.8821603432826679,0.9912195903636404,0.9953331964088158,0.9799511484304148,0.9346990890297128,0.9229820474215074,0.9324013267074605,0.9321640467172512,0.9349553207744548,0.906641485539638,0.904898084063564,0.8910028605818712,0.7619416862411513,0.5452688069874728,0.3914020996736242,0.3700628167994708,0.9621660696213847,0.9305616274689829,0.909374437739882,0.5171688524254298,2
Guinea,0.058,3.827673164565588,0.9173777594315646,0.8853999119663829,0.969525655679758,0.9905962180835974,0.9900341508636284,0.925978246530453,0.874444486964756,0.8918539131495945,0.9175540943669486,0.9397566156836308,0.9107998026287404,0.9089732191426232,0.8584910139636154,0.7201092903713227,0.5187455982641049,0.4708465360499262,0.6937314594092507,0.9588889841483417,0.902457685252938,0.9045051628546524,0.6008582210236512,3
Cameroon,0.058,3.753721549063033,0.927187572553431,0.906745499570034,0.9865256066743516,0.9891583097620114,0.9801038903047692,0.9333917760617282,0.9243877044369576,0.922103567464326,0.9168254182115568,0.9274645126987922,0.9042119393387308,0.9052549852249764,0.8689852961572522,0.7787435601790393,0.5539296369533904,0.4678189729281127,0.3138835143165357,0.9656333265777916,0.9241771165436421,0.9014791833549378,0.5285939210942695,4
Benin,0.058,4.022391095570699,0.9188058488212784,0.908857347422968,0.9932949664047904,0.9895556468201812,0.9811342297787652,0.9114352503506424,0.903547579150913,0.9217962586202634,0.9369179441222836,0.9340683841603784,0.902550555551306,0.8979475694170699,0.8579563133026974,0.7529990527449415,0.4453774737387899,0.4273080064980141,0.2471378533350897,0.9682105476066762,0.9184242580610257,0.8981307056078629,0.4682055965792088,5
Qatar,0.058,3.7057941531516185,0.921986633198974,0.8508274492768805,0.9063585300807644,0.901373119272742,0.9610157997331816,0.9967013039743022,0.9896530388933324,0.9753050883613124,0.9630885463644596,0.936780454065696,0.8880727181527642,0.8919318925421792,0.8274914999643939,0.5793393800727248,0.3349520941435123,0.3279933825031268,0.3374746747087724,0.9048937245908921,0.9811869943983516,0.8860691411812582,0.39493988285703413,6
Burkina Faso,0.058,3.9514090701873936,0.9207990599960916,0.901758213024762,0.9912172026549652,0.9909833851098958,0.9789776079522944,0.9062094725082608,0.8964541256659111,0.8999005228335967,0.9026557594886708,0.9024692411549878,0.8706415050640736,0.8811966658848537,0.8639759402548284,0.7740316787177234,0.6024578477139023,0.5183852099552222,0.376084612701927,0.9657341021854793,0.9013049701241098,0.8795708380896858,0.5677398372721937,7
Zambia,0.058,3.9068026584327087,0.9271842266133437,0.8947231952260594,0.9900147627942,0.990221807446859,0.980653041600725,0.9339882791320936,0.916500246348001,0.9112268257312036,0.9102968097798796,0.9084422510135688,0.881228456266494,0.8803355291527785,0.8451960804623868,0.7724033638708923,0.519113813839999,0.5033161482094868,0.3091784733430206,0.9639032017669609,0.9180030402477943,0.8788005792238069,0.5260029498158496,8
Niger,0.058,4.756950192163544,0.9209866561192184,0.9243821203708352,0.9969782137358638,0.996551624230726,0.9583368626217617,0.8624838506175194,0.8693874354247191,0.9073318367659232,0.9185881888039494,0.9130509772583264,0.8699767554222222,0.8587513050633444,0.8622145680221405,0.7689571423563251,0.5883013639033132,0.4292783560455822,0.3363508530244494,0.9690622052397967,0.8894478279030278,0.8759984014415083,0.5307219288324174,9
Mozambique,0.058,4.082650837819421,0.913212625901995,0.9174993377152856,0.9952138303706988,0.978351106305128,0.932294601032473,0.8920396839102954,0.8956764167852921,0.9052223528007864,0.9160745554049552,0.9106306867471204,0.8753534782244566,0.8643082769751916,0.8447947140200625,0.7593757291829415,0.4856579157891825,0.4183489731841709,0.3362375851020029,0.9558397188558964,0.9022532522253324,0.8737717889917078,0.4999050508145745,10
Sierra Leone,0.058,3.732306639863714,0.9033413045738682,0.8644110802183794,0.9925751362718744,0.9771134663913408,0.9721597553922836,0.8800614191499192,0.9048278573071722,0.9028108005959522,0.9144707980387636,0.9045763962540112,0.8732743825830843,0.8730369902058808,0.8391249616202394,0.699147802357104,0.5617746425109258,0.4828330313801841,0.3779339416094169,0.9515648595684696,0.9005427187729518,0.872503182665804,0.5304223544644077,11
Luxembourg,0.058,2.986971057802385,0.7970032270407293,0.6188915043181707,0.922849264938942,0.9575080091372098,0.9774630166783468,0.8984574041086167,0.9329516190253788,0.951833655858624,0.9305191918788348,0.951658173927411,0.9203767559845604,0.8890316452290667,0.6911314804937195,0.5548768225539414,0.5471027844802161,0.4157324003740112,0.3177747808593679,0.8691779487681673,0.9284404677178636,0.8630495139086894,0.4588716970668842,12
Nepal,0.058,3.71010456592845,0.8669713671028605,0.7321825395816863,0.9749725049332344,0.9904089947294684,0.9886322403086232,0.9087761039094178,0.8938905230292163,0.8987333797061966,0.9152122175087696,0.9142953469632984,0.876339779285223,0.8710791967083035,0.7818529534548855,0.6903749134600154,0.4882906258294043,0.3448136578866643,0.3471872743352072,0.9215490698882531,0.9041530560384001,0.8608918191029276,0.4676666178778228,13
Zimbabwe,0.058,3.8121585301533214,0.9047384384768674,0.8414241078175576,0.9796533454193784,0.9878394761201348,0.9909848432312096,0.9406614614014288,0.915986928970014,0.9063178051668964,0.873206012770805,0.8698135134857875,0.8495732471929939,0.8710925090384225,0.8341503405097641,0.7177843197651557,0.433651924340787,0.4149350696955247,0.4875683290975141,0.9499754431470702,0.9090430520772861,0.856157402556742,0.5134849107247453,14
Cambodia,0.058,3.8651618202725726,0.8536148652836082,0.7368184149841928,0.9023117211186892,0.972747207996879,0.9956351057937513,0.9584750787160408,0.9212671126180724,0.9052261638454976,0.8549132655160607,0.8776644406550085,0.9338627414447896,0.836217424831014,0.7680213416238477,0.6104139788243532,0.3472041937690496,0.2844389785907264,0.2288475010070831,0.901878112473378,0.9099704051739179,0.853941487138665,0.3677261630478031,15
Ghana,0.058,3.133193456218058,0.8966232492486433,0.8886891735979257,0.9643727541666572,0.9725460798228692,0.972089255074001,0.9152970966935526,0.907936818370089,0.9042358997512856,0.9129048184100442,0.9108506332742764,0.8714779160533808,0.8596389516035792,0.7715206661703671,0.6711486452796962,0.4404240310102827,0.4495553476676528,0.31709415544199,0.9494243156653632,0.9100936583062429,0.8533720417754008,0.4695555448499054,16
Angola,0.058,2.1848918407155025,0.7239365218742801,0.3468023505559816,0.7378770569428723,0.855598859470761,0.8514326537539996,0.7039331961891362,0.7880551786294769,0.8560870430331684,0.900578145605439,0.9105600120593458,0.8804376511820081,0.8536178006636481,0.7632830869102283,0.6185536603807549,0.5717980488848577,0.5075479550598909,0.454115418990359,0.6979277301809037,0.8121633908643051,0.8519746377038075,0.5380037708289657,17
Iceland,0.058,2.491758393373084,0.76534281248497,0.7724984889723895,0.8358249767497931,0.8997984226798476,0.9600328679295304,0.8906568710967402,0.8679260623799642,0.8633041786331366,0.8900867341953037,0.8793471635857332,0.8612360687721147,0.8512433742681399,0.7823789882904302,0.5750909941230815,0.4092247120379838,0.3296458296187018,0.2943961621271824,0.8670386890828902,0.8779934615762862,0.8435513987291046,0.4020894244767374,18
Viet Nam,0.058,2.7183990046507667,0.811921677204873,0.7630778157893481,0.8768597140732723,0.918107866680343,0.9701163373470834,0.9270235343428463,0.9255505354664184,0.9025111698760704,0.9073661667513164,0.900145432465399,0.8596838024931434,0.8543407477613778,0.7560529801999857,0.5147089207963806,0.3241060198702239,0.313333955350627,0.3022356436529886,0.8820404334725118,0.9156128516091628,0.8425557407299764,0.36359613491755505,19
Vanuatu,0.058,3.303921604088586,0.8859609411953162,0.8864856126905177,0.9660873281282086,0.9781873087813068,0.9819782457971568,0.9217962277114992,0.8850104140353255,0.8723424873503494,0.881630900913078,0.877271008076146,0.8445782506080302,0.8233707635207181,0.8171326043125595,0.7072675925962093,0.5434773100367581,0.1183897980357461,0.0648293849373324,0.9531846238492975,0.8901950075025631,0.8405881566293635,0.3584910214015115,20
Italy,0.058,2.5915840964054517,0.7599592185231515,0.8516713081166951,0.8693434773732113,0.9397142260660076,0.9515568195813978,0.9016377140462308,0.9293049126119852,0.9183067167974828,0.9399025791649124,0.9264213378148164,0.8457433168923203,0.8143273595855246,0.7527495313557289,0.6454660593933403,0.6322132838410489,0.5269729331623145,0.3543829044143,0.903071457784328,0.9222879806551528,0.8348103864120975,0.5397587952027509,21
Lesotho,0.058,3.4557738643952303,0.8605547598479756,0.7250104366206904,0.9625523455870718,0.983004215150962,0.9859196062571912,0.9434720964129696,0.8964556879525186,0.851496313638592,0.8462881283579735,0.8661617876597965,0.8534490595940945,0.8452761475355915,0.7679399885257787,0.5775318844239423,0.3958012014511496,0.4473481578407463,0.2787754517197967,0.9141216509039789,0.8844280565905134,0.8332067458288153,0.42486417385890873,22
Nigeria,0.058,3.607757098977853,0.9021819289148364,0.8642103927105029,0.9869734247520088,0.976667260295528,0.985029349223101,0.918727044033522,0.9049164878507818,0.899054320811956,0.896162886762385,0.8849596531475816,0.8319451869650115,0.8472307571787763,0.7634051638828119,0.7380027569325682,0.4190734764915763,0.4829792740550661,0.3720961701901016,0.9532201067452852,0.9047151848646613,0.8318851902935454,0.503037919417328,23
Haiti,0.058,3.096894758943782,0.8657450195581751,0.8026480066837318,0.9563204674439686,0.9752370439261058,0.9720346856719267,0.9137566175262212,0.8985738839557474,0.875663837675711,0.8702050875427407,0.8757817720731762,0.8448156707498607,0.831176667352208,0.7714916008443983,0.6469702722597565,0.4340365281606089,0.3908442118799592,0.2924330357863408,0.9265600509314332,0.889549856675105,0.8308164277549108,0.4410710120216664,24
Namibia,0.058,3.353554496422487,0.880691248835939,0.8095118516128293,0.961169838877808,0.9837036915135036,0.977753485262294,0.9427857524725952,0.9202409227008834,0.9042897156350508,0.9222262396614592,0.9138274754044076,0.8596005334512069,0.8359406610323771,0.7117212980095045,0.5843112716207376,0.6704337261591702,0.0786958092803571,0.0441181504848756,0.9330347168166087,0.9223856576174971,0.830272491974374,0.3443897393862851,25
Monaco,0.058,2.2636623847359454,0.7915849844186384,0.5708878465475846,0.8830804381941897,0.9378127045142886,0.9260836311504131,0.7317053764278132,0.7941599511251357,0.8491591220035075,0.9047060084426468,0.9115792191985168,0.860226932427949,0.8150370577483029,0.7287328854903854,0.6819996278715246,0.710217837723546,0.6853524310854631,0.8135713199991434,0.8294661551016189,0.8199326144997758,0.8288940237162885,0.7227853041699193,26
Netherlands,0.058,2.80176835681431,0.7081642629203857,0.5965966649284504,0.919951311021838,0.9421331303319362,0.9545027753971258,0.8212443642181873,0.8286363592410171,0.9557835135266888,0.9376889430945584,0.9535252276703688,0.9046148792146828,0.7957664619748077,0.6606320792591223,0.4957709346289588,0.3121875219084521,0.3238030470817151,0.2107789550106675,0.8532959704198376,0.8858382950201129,0.8286346620297453,0.3356351146574484,27
